Timesync, Reply_symmetric-based, Reply_switchdelaybased, Reply_2probebased, inter-packet-switch-arrival,  interpacket_clientdelay, Switch_reply_delay 
90, 8568.000000, 8714.000000, 6253.000000, 13137, 1127, 292
91, 8366.000000, 8514.000000, 6264.000000, 12752, 1142, 296
92, 8240.000000, 8387.000000, 6214.000000, 12542, 1138, 295
93, 8592.000000, 8740.000000, 6299.000000, 13193, 1154, 296
94, 2568.000000, 2717.000000, -4294960911.000000, 1073, 1161, 299
95, 8683.000000, 8829.000000, 6253.000000, 13375, 1131, 293
96, 8481.000000, 8629.000000, 6227.000000, 12992, 1128, 296
97, 7226.000000, 7374.000000, -4294951600.000000, 1064, 1154, 296
98, 7266.000000, 7414.000000, -4294951593.000000, 1092, 1131, 296
99, 8429.000000, 8579.000000, 6289.000000, 12854, 1142, 299
100, 8627.000000, 8775.000000, 6228.000000, 13335, 1154, 296
101, 7128.000000, 7276.000000, -4294951814.000000, 1057, 1141, 296
102, 7002.000000, 7150.000000, -4294952117.000000, 1088, 1131, 296
103, 8530.000000, 8678.000000, 6256.000000, 13067, 1131, 296
104, 8545.000000, 8695.000000, 6195.000000, 13146, 1125, 299
105, 7349.000000, 7498.000000, 15717.000000, 1251, 1135, 299
106, 8513.000000, 8661.000000, 6254.000000, 13029, 1128, 296
107, 8496.000000, 8643.000000, 6253.000000, 12976, 1118, 293
108, 8434.000000, 8585.000000, 6276.000000, 12900, 1154, 303
109, 8522.000000, 8670.000000, 6277.000000, 13058, 1145, 296
110, 7282.000000, 7430.000000, -4294951552.000000, 1069, 1124, 296
111, 9554.000000, 9701.000000, -4294946857.000000, 1060, 1195, 293
112, 9326.000000, 9474.000000, -4294947469.000000, 1082, 1128, 296
113, 8351.000000, 8500.000000, 6228.000000, 12724, 1125, 299
114, 9183.000000, 9333.000000, -4294947713.000000, 1060, 1138, 299
115, 7150.000000, 7297.000000, -4294951801.000000, 1070, 1132, 293
116, 8241.000000, 8389.000000, 6222.000000, 12504, 1122, 296
117, 9125.000000, 9273.000000, -4294947851.000000, 1076, 1135, 296
118, 9747.000000, 9895.000000, -4294946627.000000, 1067, 1121, 296
119, 10473.000000, 10621.000000, -4294945188.000000, 1101, 1131, 296
120, 8593.000000, 8739.000000, 6229.000000, 13259, 1151, 293
121, 8987.000000, 9135.000000, -4294948049.000000, 1064, 1168, 296
122, 8750.000000, 8900.000000, 6287.000000, 13476, 1131, 299
123, 9141.000000, 9289.000000, -4294947780.000000, 1063, 1148, 296
124, 2506.000000, 2652.000000, -4294961031.000000, 1089, 1171, 293
125, 7062.000000, 7210.000000, -4294951936.000000, 1060, 1148, 296
126, 8395.000000, 8543.000000, 6264.000000, 12809, 1141, 296
127, 8401.000000, 8551.000000, 6258.000000, 12815, 1135, 299
128, 8385.000000, 8535.000000, 6216.000000, 12831, 1138, 299
129, 7268.000000, 7416.000000, -4294951544.000000, 1073, 1144, 295
130, 7280.000000, 7428.000000, -4294951348.000000, 1076, 1232, 296
131, 8230.000000, 8378.000000, 6265.000000, 12460, 1132, 296
132, 8419.000000, 8569.000000, 6218.000000, 12885, 1132, 299
133, 7267.000000, 7415.000000, -4294951576.000000, 1076, 1131, 296
134, 8618.000000, 8768.000000, 6299.000000, 13206, 1134, 299
135, 7370.000000, 7517.000000, -4294951332.000000, 1064, 1144, 295
136, 7252.000000, 7399.000000, -4294951595.000000, 1088, 1142, 293
137, 7270.000000, 7417.000000, -4294951559.000000, 1067, 1132, 295
138, 8418.000000, 8566.000000, 6270.000000, 12850, 1142, 296
139, 8305.000000, 8453.000000, 6325.000000, 12602, 1158, 296
140, 7037.000000, 7185.000000, -4294952043.000000, 1080, 1129, 296
141, 2556.000000, 2704.000000, -4294960905.000000, 1110, 1194, 296
142, 7128.000000, 7276.000000, -4294951875.000000, 1092, 1128, 296
143, 8453.000000, 8602.000000, 6292.000000, 12876, 1131, 299
144, 8503.000000, 8652.000000, 6225.000000, 13049, 1134, 299
145, 8417.000000, 8565.000000, 6272.000000, 12819, 1128, 296
146, 8402.000000, 8552.000000, 6308.000000, 12753, 1128, 299
147, 8335.000000, 8483.000000, 6246.000000, 12687, 1131, 296
148, 8197.000000, 8345.000000, 6202.000000, 12460, 1134, 296
149, 8365.000000, 8514.000000, 6314.000000, 12718, 1151, 299
150, 8703.000000, 8851.000000, 6303.000000, 13345, 1121, 296
151, 8296.000000, 8442.000000, 6254.000000, 12608, 1135, 293
152, 8343.000000, 8494.000000, 6231.000000, 12737, 1141, 303
153, 6857.000000, 7005.000000, 14801.000000, 1164, 1125, 296
154, 2528.000000, 2676.000000, -4294960939.000000, 1070, 1185, 296
155, 8205.000000, 8353.000000, 6275.000000, 12406, 1135, 296
156, 8363.000000, 8511.000000, 6244.000000, 12759, 1138, 296
157, 8550.000000, 8698.000000, 6239.000000, 13117, 1128, 296
158, 8395.000000, 8543.000000, 6298.000000, 12800, 1154, 296
159, 7140.000000, 7288.000000, -4294951694.000000, 1067, 1194, 296
160, 8380.000000, 8528.000000, 6326.000000, 12797, 1181, 295
161, 8179.000000, 8327.000000, 6284.000000, 12337, 1131, 296
162, 7204.000000, 7354.000000, 15534.000000, 1143, 1134, 299
163, 8169.000000, 8317.000000, 6286.000000, 12328, 1138, 296
164, 8080.000000, 8229.000000, 6218.000000, 12218, 1138, 299
165, 7043.000000, 7191.000000, -4294951991.000000, 1058, 1138, 295
166, 8563.000000, 8709.000000, 6250.000000, 13146, 1135, 293
167, 8537.000000, 8686.000000, 6258.000000, 13058, 1121, 299
168, 8483.000000, 8631.000000, 6216.000000, 13021, 1135, 295
169, 8340.000000, 8488.000000, 6296.000000, 12655, 1135, 296
170, 8441.000000, 8591.000000, 6299.000000, 12854, 1135, 299
171, 8560.000000, 8707.000000, 6322.000000, 13080, 1141, 295
172, 8252.000000, 8402.000000, 6216.000000, 12579, 1145, 299
173, 8527.000000, 8675.000000, 6273.000000, 13052, 1135, 296
174, 8599.000000, 8747.000000, 6254.000000, 13212, 1134, 296
175, 8486.000000, 8634.000000, 6249.000000, 12985, 1131, 296
176, 8454.000000, 8602.000000, 6215.000000, 12976, 1141, 296
177, 8289.000000, 8435.000000, 6239.000000, 12601, 1131, 293
178, 8425.000000, 8573.000000, 6277.000000, 12875, 1151, 296
179, 8590.000000, 8738.000000, 6243.000000, 13187, 1125, 296
180, 7304.000000, 7452.000000, -4294951506.000000, 1086, 1134, 296
181, 8182.000000, 8330.000000, 6314.000000, 12338, 1144, 296
182, 8388.000000, 8536.000000, 6273.000000, 12772, 1134, 295
183, 8477.000000, 8627.000000, 6311.000000, 12906, 1131, 299
184, 2521.000000, 2668.000000, -4294960986.000000, 1083, 1175, 293
185, 7235.000000, 7383.000000, -4294951637.000000, 1082, 1135, 296
186, 8569.000000, 8717.000000, 6341.000000, 13051, 1127, 296
187, 7104.000000, 7253.000000, -4294951882.000000, 1070, 1138, 299
188, 8508.000000, 8656.000000, -4294949119.000000, 1095, 1128, 296
189, 7153.000000, 7301.000000, -4294951801.000000, 1067, 1128, 296
190, 8412.000000, 8560.000000, 6296.000000, 12847, 1159, 296
191, 7390.000000, 7538.000000, -4294951147.000000, 1054, 1211, 296
192, 8487.000000, 8636.000000, 6053.000000, 13197, 1138, 299
193, 8632.000000, 8779.000000, 6247.000000, 13300, 1141, 293
194, 8558.000000, 8706.000000, 6303.000000, 13127, 1157, 296
195, 7546.000000, 7694.000000, -4294950988.000000, 1047, 1131, 296
196, 8590.000000, 8738.000000, 6217.000000, 13200, 1118, 296
197, 8302.000000, 8450.000000, 6261.000000, 12601, 1129, 296
198, 7370.000000, 7518.000000, -4294951210.000000, 1064, 1205, 296
199, 8423.000000, 8572.000000, 6303.000000, 12885, 1171, 299
200, 7080.000000, 7228.000000, -4294951937.000000, 1070, 1134, 295
201, 8532.000000, 8682.000000, 6413.000000, 13048, 1198, 299
202, 8324.000000, 8472.000000, 6321.000000, 12718, 1195, 296
203, 8347.000000, 8495.000000, 6309.000000, 12788, 1201, 295
204, 8360.000000, 8508.000000, 6239.000000, 12737, 1128, 296
205, 8199.000000, 8347.000000, 6459.000000, 12475, 1268, 296
206, 7032.000000, 7182.000000, -4294952043.000000, 1080, 1134, 299
