Timesync, Reply_symmetric-based, Reply_switchdelaybased, Reply_2probebased, inter-packet-switch-arrival,  interpacket_clientdelay, Switch_reply_delay 
94, 2209.000000, 2357.000000, -4294950623.000000, 66, 12321, 296
95, 9078.000000, 9226.000000, 18078.000000, 1085, 1007, 296
96, 2618.000000, 2767.000000, 5043.000000, 1057, 864, 299
97, 2659.000000, 2809.000000, 5071.000000, 1102, 854, 299
98, 7525.000000, 7676.000000, 14850.000000, 1061, 861, 302
99, 8552.000000, 8700.000000, 5036.000000, 12926, 858, 296
100, 7055.000000, 7203.000000, 13885.000000, 1083, 858, 296
101, 8533.000000, 8681.000000, 5058.000000, 12866, 858, 296
102, 8588.000000, 8735.000000, 5069.000000, 12961, 854, 295
103, 2638.000000, 2786.000000, 5063.000000, 1089, 875, 296
104, 2602.000000, 2750.000000, 4970.000000, 1102, 868, 296
105, 8461.000000, 8609.000000, 5168.000000, 12759, 1004, 296
106, 7158.000000, 7306.000000, 14092.000000, 1076, 851, 296
107, 7861.000000, 8009.000000, 15498.000000, 1095, 871, 296
108, 2655.000000, 2802.000000, -4294961449.000000, 1152, 1689, 295
109, 2647.000000, 2795.000000, 5099.000000, 1076, 881, 296
110, 7283.000000, 7431.000000, 14372.000000, 1069, 875, 296
111, 8447.000000, 8595.000000, 5155.000000, 12718, 978, 296
112, 2692.000000, 2842.000000, -4294950950.000000, 1073, 12034, 299
113, 9322.000000, 9471.000000, 18409.000000, 1082, 847, 299
114, 2635.000000, 2784.000000, 5060.000000, 1067, 857, 299
115, 10035.000000, 10183.000000, 19967.000000, 1092, 988, 296
116, 7104.000000, 7252.000000, 13981.000000, 1076, 848, 296
117, 8416.000000, 8564.000000, 5042.000000, 12655, 864, 296
118, 9083.000000, 9229.000000, 17928.000000, 1089, 851, 292
119, 7538.000000, 7686.000000, 14862.000000, 1079, 864, 296
120, 10047.000000, 10195.000000, 19827.000000, 1148, 881, 296
121, 10036.000000, 10184.000000, 19874.000000, 1079, 881, 296
122, 8478.000000, 8628.000000, 5039.000000, 12775, 857, 299
123, 8448.000000, 8596.000000, 5178.000000, 12759, 1041, 296
124, 2649.000000, 2798.000000, 5060.000000, 1079, 841, 299
125, 8619.000000, 8767.000000, 5174.000000, 13058, 994, 296
126, 2626.000000, 2773.000000, 5183.000000, 1101, 1031, 293
127, 7340.000000, 7488.000000, 14479.000000, 1076, 874, 296
128, 9792.000000, 9940.000000, 19329.000000, 1104, 848, 296
129, 9734.000000, 9882.000000, 19234.000000, 1098, 864, 296
130, 2627.000000, 2775.000000, 5087.000000, 1108, 941, 296
131, 9724.000000, 9872.000000, 19371.000000, 1086, 1008, 296
132, 9283.000000, 9431.000000, 18495.000000, 1086, 1015, 296
133, 8751.000000, 8899.000000, 5073.000000, 13278, 848, 296
134, 9110.000000, 9258.000000, 18149.000000, 1076, 1004, 296
135, 9525.000000, 9671.000000, 18804.000000, 1120, 874, 293
136, 10075.000000, 10225.000000, 19927.000000, 1095, 871, 299
137, 2622.000000, 2770.000000, 5193.000000, 1066, 1014, 296
138, 9108.000000, 9257.000000, 18015.000000, 1082, 881, 299
139, 9317.000000, 9465.000000, 18400.000000, 1086, 851, 295
140, 2777.000000, 2925.000000, 5041.000000, 1390, 877, 296
141, 2711.000000, 2859.000000, 5116.000000, 1161, 854, 296
142, 2642.000000, 2790.000000, 5067.000000, 1089, 871, 295
143, 9103.000000, 9251.000000, 17993.000000, 1085, 871, 296
144, 7376.000000, 7524.000000, 14519.000000, 1098, 864, 296
145, 7022.000000, 7170.000000, 13482.000000, 1460, 898, 296
146, 9378.000000, 9526.000000, 18560.000000, 1063, 867, 296
147, 9781.000000, 9929.000000, 19347.000000, 1066, 851, 296
148, 2592.000000, 2740.000000, 4963.000000, 1092, 871, 296
149, 9178.000000, 9326.000000, 18119.000000, 1099, 861, 295
150, 8370.000000, 8517.000000, 5834.000000, 12608, 1702, 295
151, 9889.000000, 10039.000000, 19552.000000, 1101, 874, 299
152, 9161.000000, 9309.000000, 18115.000000, 1089, 881, 296
153, 7239.000000, 7387.000000, 14273.000000, 1073, 868, 296
154, 2654.000000, 2802.000000, -4294949592.000000, 1076, 13472, 296
155, 9166.000000, 9314.000000, 18098.000000, 1085, 851, 296
156, 9190.000000, 9340.000000, 18308.000000, 1104, 1031, 299
157, 2589.000000, 2737.000000, 5068.000000, 1095, 984, 296
158, 9186.000000, 9334.000000, 18314.000000, 1070, 1011, 296
159, 2629.000000, 2775.000000, 5178.000000, 1088, 1008, 293
160, 2548.000000, 2696.000000, 5035.000000, 1070, 1008, 295
161, 8929.000000, 9077.000000, 17631.000000, 1086, 858, 296
162, 9964.000000, 10114.000000, 19714.000000, 1079, 864, 299
163, 2627.000000, 2775.000000, 5028.000000, 1098, 871, 296
164, 9568.000000, 9715.000000, 18852.000000, 1152, 868, 295
165, 7508.000000, 7655.000000, 14769.000000, 1095, 847, 293
166, 7495.000000, 7641.000000, 14792.000000, 1080, 881, 292
167, 7788.000000, 7937.000000, 15327.000000, 1104, 855, 299
168, 9542.000000, 9691.000000, 19036.000000, 1072, 1024, 299
169, 9419.000000, 9567.000000, 18608.000000, 1079, 848, 296
170, 8650.000000, 8799.000000, 5021.000000, 13140, 861, 299
171, 9816.000000, 9964.000000, 19378.000000, 1108, 854, 296
172, 7336.000000, 7486.000000, 14475.000000, 1082, 884, 299
173, 8822.000000, 8971.000000, 17437.000000, 1082, 875, 299
174, 9267.000000, 9417.000000, 18317.000000, 1079, 861, 299
175, 7398.000000, 7546.000000, 14556.000000, 1091, 851, 296
176, 9679.000000, 9827.000000, 19130.000000, 1085, 857, 296
177, 2627.000000, 2775.000000, 5142.000000, 1123, 1011, 296
178, 7244.000000, 7392.000000, 14248.000000, 1091, 851, 296
179, 2617.000000, 2763.000000, 5170.000000, 1079, 1015, 293
180, 9486.000000, 9636.000000, 18668.000000, 1149, 844, 299
181, 7537.000000, 7683.000000, 14832.000000, 1089, 847, 293
182, 2604.000000, 2753.000000, 5150.000000, 1073, 1015, 299
183, 8606.000000, 8752.000000, 5037.000000, 13027, 851, 292
184, 2601.000000, 2749.000000, -4294949889.000000, 1067, 13272, 296
185, 7227.000000, 7377.000000, 14266.000000, 1063, 874, 299
186, 9023.000000, 9170.000000, 17799.000000, 1108, 861, 295
187, 9188.000000, 9336.000000, 18159.000000, 1085, 868, 296
188, 2555.000000, 2705.000000, 5055.000000, 1060, 1004, 299
189, 8709.000000, 8857.000000, 5091.000000, 13181, 854, 296
190, 9051.000000, 9199.000000, 17856.000000, 1101, 854, 296
191, 9258.000000, 9406.000000, 18315.000000, 1086, 884, 296
192, 8662.000000, 8811.000000, 4942.000000, 13240, 858, 299
193, 9244.000000, 9392.000000, 18270.000000, 1085, 867, 296
194, 9124.000000, 9272.000000, -4294948479.000000, 1079, 1648, 296
195, 8867.000000, 9013.000000, 17507.000000, 1099, 871, 292
196, 9013.000000, 9161.000000, 17784.000000, 1098, 855, 296
197, 7525.000000, 7673.000000, 14841.000000, 1070, 861, 296
198, 7426.000000, 7574.000000, 14647.000000, 1070, 864, 296
199, 8717.000000, 8865.000000, 5029.000000, 13256, 851, 296
200, 2580.000000, 2728.000000, 5036.000000, 1089, 964, 296
201, 8582.000000, 8729.000000, 5049.000000, 12986, 871, 295
202, 8574.000000, 8722.000000, 5045.000000, 12954, 851, 296
203, 8739.000000, 8887.000000, 5029.000000, 13303, 854, 296
204, 9291.000000, 9438.000000, 18351.000000, 1089, 858, 295
205, 8866.000000, 9014.000000, 17518.000000, 1076, 861, 296
206, 7308.000000, 7456.000000, 14389.000000, 1089, 861, 295
207, 7527.000000, 7675.000000, 14527.000000, 1422, 894, 296
208, 9693.000000, 9842.000000, 19204.000000, 1070, 888, 299
209, 2614.000000, 2762.000000, 5155.000000, 1095, 1021, 296
210, 7288.000000, 7436.000000, 14342.000000, 1085, 851, 296
211, 2634.000000, 2780.000000, 5145.000000, 1098, 975, 293
212, 9223.000000, 9370.000000, 18298.000000, 1164, 1015, 293
213, 8664.000000, 8812.000000, 5027.000000, 13152, 851, 296
214, 2615.000000, 2764.000000, -4294961511.000000, 1083, 1638, 299
215, 9534.000000, 9681.000000, 18855.000000, 1070, 857, 295
216, 8680.000000, 8828.000000, 5037.000000, 13171, 848, 296
217, 2645.000000, 2793.000000, 5198.000000, 1073, 981, 296
218, 8769.000000, 8917.000000, 5080.000000, 13319, 861, 296
219, 8793.000000, 8941.000000, 5036.000000, 13394, 844, 296
220, 2886.000000, 3036.000000, 5135.000000, 1813, 1175, 299
221, 2665.000000, 2813.000000, 5097.000000, 1092, 858, 296
222, 2511.000000, 2658.000000, -4294962211.000000, 1070, 1132, 293
223, 2557.000000, 2708.000000, -4294962132.000000, 1079, 1128, 302
224, 8576.000000, 8722.000000, 5022.000000, 12998, 868, 293
225, 7993.000000, 8141.000000, 15760.000000, 1101, 874, 296
226, 8295.000000, 8444.000000, 5855.000000, 12391, 1656, 299
227, 7336.000000, 7485.000000, 14451.000000, 1082, 861, 299
228, 2604.000000, 2752.000000, 4958.000000, 1105, 854, 295
229, 7734.000000, 7882.000000, 15279.000000, 1060, 871, 296
230, 2492.000000, 2640.000000, -4294962209.000000, 1085, 1188, 296
231, 2621.000000, 2770.000000, 5138.000000, 1095, 991, 299
232, 2443.000000, 2591.000000, -4294962186.000000, 1101, 1325, 296
233, 2455.000000, 2603.000000, -4294962114.000000, 1073, 1345, 296
234, 2531.000000, 2679.000000, 5054.000000, 1076, 1068, 296
235, 8054.000000, 8202.000000, 15878.000000, 1085, 855, 296
236, 7180.000000, 7328.000000, 14091.000000, 1073, 804, 296
237, 7206.000000, 7355.000000, 14223.000000, 1070, 881, 299
238, 7145.000000, 7294.000000, 14075.000000, 1073, 858, 299
239, 2511.000000, 2659.000000, -4294962218.000000, 1082, 1137, 296
240, 2438.000000, 2586.000000, -4294962274.000000, 1073, 1219, 296
241, 7249.000000, 7399.000000, 14275.000000, 1089, 865, 299
242, 2483.000000, 2631.000000, -4294962067.000000, 1089, 1351, 296
243, 2460.000000, 2610.000000, -4294962009.000000, 1079, 1445, 299
244, 2558.000000, 2706.000000, 5014.000000, 1067, 964, 296
245, 7791.000000, 7939.000000, 15383.000000, 1063, 864, 296
246, 8131.000000, 8279.000000, 16041.000000, 1086, 864, 296
247, 8763.000000, 8912.000000, 5034.000000, 13360, 868, 299
248, 2437.000000, 2585.000000, -4294962304.000000, 1085, 1202, 296
249, 7926.000000, 8074.000000, 15631.000000, 1095, 874, 296
250, 2471.000000, 2617.000000, -4294962187.000000, 1098, 1265, 293
251, 2599.000000, 2746.000000, 5103.000000, 1086, 991, 295
252, 8692.000000, 8840.000000, 4976.000000, 13262, 854, 296
253, 2532.000000, 2680.000000, -4294962200.000000, 1083, 1114, 295
254, 8056.000000, 8204.000000, -4294950589.000000, 66, 661, 296
255, 2469.000000, 2617.000000, -4294962219.000000, 1086, 1224, 296
256, 2599.000000, 2747.000000, -4294950993.000000, 1067, 12171, 296
257, 8703.000000, 8851.000000, 5047.000000, 13234, 874, 296
258, 7114.000000, 7262.000000, 14007.000000, 1076, 854, 296
259, 2517.000000, 2666.000000, -4294962159.000000, 1092, 1195, 299
260, 2436.000000, 2584.000000, -4294962267.000000, 1092, 1248, 296
261, 9610.000000, 9759.000000, 18999.000000, 1079, 858, 299
262, 8840.000000, 8988.000000, 17471.000000, 1066, 857, 296
