Timesync, Reply_symmetric-based, Reply_switchdelaybased, Reply_2probebased, inter-packet-switch-arrival,  interpacket_clientdelay, Switch_reply_delay 
90, 7853.000000, 8001.000000, -4294950385.000000, 1070, 1137, 296
91, 7240.000000, 7390.000000, -4294951626.000000, 1060, 1125, 300
92, 6947.000000, 7094.000000, -4294952158.000000, 1079, 1161, 293
93, 7515.000000, 7664.000000, -4294951094.000000, 1079, 1125, 297
94, 7137.000000, 7285.000000, -4294951803.000000, 1079, 1149, 297
95, 7376.000000, 7524.000000, -4294951284.000000, 1064, 1162, 296
96, 8364.000000, 8512.000000, 6214.000000, 12797, 1141, 296
97, 7097.000000, 7244.000000, -4294951849.000000, 1095, 1174, 294
98, 8782.000000, 8927.000000, 6260.000000, 13574, 1135, 290
99, 8455.000000, 8601.000000, 6304.000000, 12882, 1138, 293
100, 8147.000000, 8294.000000, 6311.000000, 12240, 1128, 293
101, 8280.000000, 8427.000000, 6275.000000, 12608, 1161, 294
102, 8720.000000, 8867.000000, 6320.000000, 13419, 1149, 294
103, 8513.000000, 8661.000000, 6260.000000, 13011, 1122, 296
104, 7199.000000, 7346.000000, -4294951674.000000, 1079, 1151, 293
105, 9079.000000, 9226.000000, -4294947981.000000, 1085, 1121, 294
106, 6969.000000, 7116.000000, -4294952141.000000, 1080, 1148, 293
107, 7399.000000, 7545.000000, -4294951320.000000, 1064, 1121, 293
108, 8213.000000, 8358.000000, 6218.000000, 12491, 1141, 290
109, 8469.000000, 8616.000000, 6286.000000, 12954, 1151, 294
110, 7067.000000, 7214.000000, -4294951979.000000, 1088, 1135, 294
111, 7240.000000, 7385.000000, -4294951635.000000, 1063, 1122, 290
112, 8155.000000, 8304.000000, 6249.000000, 12384, 1161, 297
113, 7376.000000, 7523.000000, -4294951326.000000, 1067, 1142, 293
114, 8631.000000, 8778.000000, 6387.000000, 13366, 1245, 294
115, 8490.000000, 8636.000000, 6244.000000, 12992, 1128, 293
116, 7122.000000, 7271.000000, 15363.000000, 1132, 1125, 297
117, 8777.000000, 8924.000000, 6253.000000, 13558, 1128, 293
118, 8643.000000, 8791.000000, 6374.000000, 13294, 1191, 297
119, 8710.000000, 8857.000000, 6365.000000, 13452, 1198, 293
120, 8281.000000, 8428.000000, 6224.000000, 12608, 1135, 294
121, 7449.000000, 7596.000000, 15987.000000, 1140, 1114, 293
122, 6988.000000, 7133.000000, -4294951969.000000, 1086, 1218, 290
123, 8247.000000, 8392.000000, 6275.000000, 12489, 1135, 290
124, 2533.000000, 2683.000000, -4294960983.000000, 1069, 1158, 300
125, 7028.000000, 7174.000000, -4294951942.000000, 1064, 1181, 293
126, 8468.000000, 8617.000000, 6431.000000, 12894, 1194, 297
127, 7204.000000, 7351.000000, -4294951716.000000, 1085, 1128, 294
128, 8695.000000, 8840.000000, 6239.000000, 13413, 1131, 291
129, 8393.000000, 8540.000000, 6285.000000, 12784, 1141, 294
130, 7224.000000, 7373.000000, -4294951455.000000, 1076, 1234, 297
131, 8382.000000, 8529.000000, 6416.000000, 12737, 1194, 294
132, 8550.000000, 8697.000000, 6220.000000, 13124, 1122, 294
133, 2526.000000, 2672.000000, -4294960955.000000, 1061, 1175, 293
134, 7652.000000, 7799.000000, -4294950791.000000, 1070, 1135, 293
135, 7163.000000, 7311.000000, -4294951748.000000, 1060, 1141, 297
136, 7226.000000, 7372.000000, -4294951645.000000, 1083, 1141, 293
137, 7471.000000, 7618.000000, -4294951066.000000, 1088, 1188, 294
138, 8227.000000, 8372.000000, 6174.000000, 12665, 1192, 290
139, 7441.000000, 7588.000000, -4294951167.000000, 1069, 1158, 294
140, 8151.000000, 8298.000000, 16618.000000, 1088, 702, 294
141, 8391.000000, 8538.000000, 6360.000000, 12705, 1141, 294
142, 2564.000000, 2711.000000, 6056.000000, 1079, 1003, 294
143, 2468.000000, 2618.000000, -4294960345.000000, 1261, 1638, 300
144, 8717.000000, 8864.000000, 6260.000000, 13476, 1151, 294
145, 7711.000000, 7857.000000, -4294950683.000000, 1067, 1129, 293
146, 2480.000000, 2625.000000, -4294960488.000000, 1242, 1545, 291
147, 8505.000000, 8652.000000, 6380.000000, 13039, 1204, 294
148, 2446.000000, 2594.000000, -4294960533.000000, 1239, 1555, 297
149, 8540.000000, 8687.000000, 6367.000000, 12976, 1131, 294
150, 8129.000000, 8275.000000, 6351.000000, 12243, 1168, 293
151, 2452.000000, 2599.000000, -4294960486.000000, 1164, 1535, 294
152, 8297.000000, 8445.000000, 6459.000000, 12919, 1392, 297
153, 8301.000000, 8447.000000, 6251.000000, 12599, 1124, 293
154, 8043.000000, 8190.000000, 6344.000000, 12133, 1195, 294
155, 8289.000000, 8436.000000, 6352.000000, 12611, 1192, 294
156, 8173.000000, 8322.000000, 6291.000000, 12438, 1191, 297
157, 8093.000000, 8240.000000, 6407.000000, 12101, 1161, 294
158, 2490.000000, 2638.000000, -4294960542.000000, 1202, 1488, 297
159, 8591.000000, 8738.000000, 6311.000000, 13222, 1175, 293
160, 2455.000000, 2603.000000, -4294960522.000000, 1287, 1575, 296
161, 8221.000000, 8368.000000, 6314.000000, 12444, 1158, 294
162, 2464.000000, 2611.000000, -4294960592.000000, 1183, 1479, 294
163, 2535.000000, 2681.000000, -4294960435.000000, 1246, 1518, 291
164, 8511.000000, 8657.000000, 6291.000000, 13121, 1195, 293
165, 8462.000000, 8608.000000, 6340.000000, 12948, 1182, 293
166, 8508.000000, 8655.000000, 6276.000000, 13030, 1145, 294
167, 8609.000000, 8756.000000, 6395.000000, 13127, 1152, 294
168, 8487.000000, 8633.000000, 6200.000000, 13030, 1128, 293
