Timesync, Reply_symmetric-based, Reply_switchdelaybased, Reply_2probebased, inter-packet-switch-arrival,  interpacket_clientdelay, Switch_reply_delay 
107, 51960.000000, 52108.000000, -4294862494.000000, 73, 955, 296
108, 27917.000000, 28067.000000, -4294910583.000000, 66, 944, 299
109, 9982.000000, 10132.000000, -4294945675.000000, 66, 1722, 299
110, 11401.000000, 11549.000000, -4294943625.000000, 69, 937, 296
111, 13540.000000, 14204.000000, -2000116679.000000, 2000144718, 958, 1328
112, 49913.000000, 50577.000000, -2000045155.000000, 2000145939, 958, 1328
113, 49913.000000, 50576.000000, -2000046373.000000, 2000147157, 958, 1327
114, 49913.000000, 50577.000000, -2000047590.000000, 2000148374, 958, 1328
115, 49913.000000, 50580.000000, -2000048808.000000, 2000149592, 958, 1334
116, 49913.000000, 50577.000000, -2000051246.000000, 2000152030, 958, 1328
117, 49913.000000, 50580.000000, -2000063436.000000, 2000164220, 958, 1334
118, 49913.000000, 50061.000000, -4294866578.000000, 66, 958, 296
119, 8829.000000, 8980.000000, -4294948009.000000, 66, 1695, 302
120, 10817.000000, 10965.000000, -4294944783.000000, 69, 948, 296
121, 16156.000000, 16304.000000, -4294934115.000000, 66, 934, 296
122, 11165.000000, 11315.000000, -4294944093.000000, 66, 938, 299
123, 9163.000000, 9827.000000, -2000120268.000000, 2000140449, 1855, 1328
124, 9163.000000, 9367.000000, -2000121486.000000, 2000141667, 1855, 409
125, 70282.000000, 70431.000000, -2000002595.000000, 2000145014, 1855, 299
126, 70282.000000, 70431.000000, -2000005097.000000, 2000147516, 1855, 299
127, 70282.000000, 70431.000000, -2000008825.000000, 2000151244, 1855, 299
128, 70282.000000, 70431.000000, -2000010109.000000, 2000152528, 1855, 299
129, 179238.000000, 179386.000000, -1999804858.000000, 2000165190, 1855, 295
130, 179238.000000, 179386.000000, -1999797410.000000, 2000157742, 1855, 296
131, 179238.000000, 179386.000000, -1999804858.000000, 2000165190, 1855, 295
132, 14200.000000, 14348.000000, -4294937996.000000, 69, 968, 296
